"CH1","CH2","CH3","CH4","CH5","CH6","CH7","CH8","CH9","CH10","CH11","CH12","CH13","CH14","CH15","CH16","CH17","CH18","CH19","CH20","CH21","CH22","CH23","CH24"
3.1249,2.4696,2.3837,2.7,1.9794,2.4384,1.7817,1.7747,2.1211,1.9643,1.4774,1.6611,1.9076,2.2549,2.1062,2.0225,2.6339,1.6172,1.9789,2.4366,1.9484,1.8326,1.7663,1.9166
3.0388,2.699,2.4983,2.489,2.3389,2.5874,2.0605,2.0306,2.2496,2.1142,1.6656,1.9303,2.1162,2.2968,2.6175,2.0805,2.8156,1.6735,2.1453,2.5438,2.0335,1.8971,1.887,2.0249
3.275,3.4116,2.7462,2.8596,2.9484,2.7161,2.1136,2.2154,2.3665,2.1376,1.7156,2.0528,2.3091,2.454,3.0398,2.2053,2.7786,1.5723,2.1028,2.7966,2.095,1.917,1.9729,2.0083
3.5497,4.0712,2.7418,3.1427,3.5758,2.7858,2.3944,2.104,2.3109,2.3668,1.6073,2.3302,2.7018,2.8014,3.2781,2.3319,2.8343,1.7646,2.2274,3.1173,2.1205,1.7776,1.8272,1.7455
3.6492,4.558,2.6621,3.1562,4.1352,2.6593,2.6221,1.9645,2.3051,2.5916,1.4814,2.3447,3.0006,3.1207,3.317,2.4454,2.842,1.9801,2.2498,3.2888,2.0645,1.578,1.7849,1.4612
3.7125,4.7928,2.6758,3.1199,4.4958,2.6394,2.6354,1.8867,2.3679,2.7228,1.5178,2.644,3.2887,3.5023,3.353,2.5778,2.9878,2.1332,2.3658,3.2703,2.059,1.6317,1.8041,1.1651
3.6677,4.7112,2.6027,3.0749,4.3748,2.5076,2.4811,1.7306,2.0844,2.4026,0.96237,2.2521,3.0677,3.6029,3.3601,2.5384,2.9272,2.0476,2.2966,2.9519,1.9344,1.5079,1.7636,1.1484
3.7034,4.7034,2.7809,3.08,4.0385,2.3264,2.3579,1.5446,1.7359,2.2736,0.54249,2.0397,3.2173,3.6807,2.8018,2.5888,2.8762,1.9261,2.7745,2.7728,1.8996,1.4889,1.0695,1.2782
3.2174,4.5253,1.9938,2.7477,3.7074,1.9728,2.2353,1.0252,1.4182,2.1697,0.18324,1.6618,3.3648,3.4772,2.1939,2.4881,2.1482,2.6238,2.7614,2.7127,1.889,1.1784,1.2416,0.67627
2.8446,4.3731,1.4061,2.6363,3.8084,1.6235,2.0392,0.62322,1.1477,1.9533,-0.19272,1.0936,3.164,3.0344,2.1709,2.2784,1.3926,2.8062,2.227,2.6287,1.6641,0.7385,1.3067,0.39493
2.5075,3.9961,1.2906,2.3859,3.6009,1.3221,1.7033,0.38754,0.99813,1.6231,-0.5242,0.97477,3.0154,2.635,2.331,1.8981,1.1333,2.3476,1.6919,2.2806,1.2208,0.449,0.69424,0.35429
2.0688,3.2964,0.88665,1.8906,3.2117,0.88223,1.2664,-0.053506,0.56843,1.0793,-0.83727,0.51371,2.6641,2.111,2.0089,1.5115,0.62517,2.0586,1.2824,1.7382,0.86137,0.25738,0.51196,0.20791
1.684,2.9098,0.4607,1.4154,3.1645,0.53622,0.84273,-0.26476,0.18907,0.79374,-1.0307,0.052762,2.2754,1.609,1.7072,1.1456,0.22603,1.5681,0.78505,1.207,0.40049,-0.080388,0.11074,-0.32266
1.3348,2.5743,0.16189,0.94092,3.1397,0.16508,0.60709,-0.57814,-0.030564,0.54298,-1.1772,0.049975,1.9602,1.1086,1.8185,0.77924,-0.1097,1.1397,0.33307,0.94133,-0.0033305,-0.3929,-0.27231,-0.65278
1.0339,2.3486,-0.093575,0.69598,2.9973,-0.17832,0.37035,-0.83423,-0.24398,0.41025,-1.2206,-0.074502,1.5737,0.56021,1.8588,0.54347,-0.55766,1.0515,0.15896,0.5159,-0.01883,-0.62002,-0.3008,-0.8303
0.88879,2.2549,-0.24716,0.69398,2.8992,-0.25599,0.37225,-0.87232,-0.29546,0.39214,-1.2354,-0.12737,1.3114,0.3732,1.9025,0.44016,-0.7434,1.0056,0.055684,0.30696,-0.12823,-0.81425,-0.34335,-0.89527
1.0933,2.3768,-0.13758,0.76469,3.367,-0.14382,0.39072,-0.75443,-0.18751,0.47582,-1.1161,-0.011504,1.5332,0.33234,1.9568,0.63376,-0.77693,0.84556,0.050003,0.33721,-0.16912,-0.76976,-0.30171,-0.68368
1.4298,2.5311,0.11246,0.91798,3.4017,0.029671,0.46009,-0.57459,-0.092691,0.59053,-0.93163,-0.16299,1.675,0.45574,1.8976,0.82692,-0.61701,0.8598,0.24859,0.29103,-0.057937,-0.60286,-0.12083,-0.89704
1.3883,2.4278,0.14474,0.87964,3.0704,0.075169,0.48675,-0.59902,-0.050637,0.5733,-0.82887,-0.080015,1.4603,0.40222,1.6653,0.85036,-0.56662,0.86277,0.33076,0.22567,0.020823,-0.56962,-0.058917,-0.84162
1.2536,2.1451,0.15679,0.88146,2.7443,0.15126,0.52317,-0.40612,-0.083034,0.63164,-0.69447,0.010618,1.3293,0.40056,1.4639,0.88585,-0.44067,0.75712,0.37447,-0.00046774,0.041566,-0.41304,0.0087003,-0.85111
1.2027,1.8723,0.27889,0.94975,2.4682,0.32715,0.71176,-0.27051,0.0022299,0.53727,-0.63778,0.10792,1.1804,0.46169,1.1183,0.84253,-0.28369,0.74521,0.46175,-0.26137,0.14064,-0.25409,0.016646,-0.7544
1.1847,1.7311,0.36855,0.97596,2.1603,0.361,0.70172,-0.20379,0.064398,0.34148,-0.54396,0.19544,1.0565,0.44472,0.84527,0.75654,-0.19845,0.60211,0.37446,-0.40718,0.063021,-0.17005,0.036188,-0.32258
1.0011,1.4555,0.30713,0.82823,1.9535,0.27354,0.50222,-0.19741,-0.0094861,0.40693,-0.66792,0.28047,0.95228,0.31482,1.0052,0.60167,-0.22341,0.47112,0.22035,-0.51326,-0.06594,-0.27663,-0.18413,-0.71637
0.83293,1.1965,0.23449,0.73355,1.7122,0.15834,0.37908,-0.23038,-0.071158,0.40101,-0.60553,-0.082216,0.86159,0.14942,0.91554,0.48854,-0.29813,0.46234,0.0040682,-0.57224,-0.07537,-0.29297,-0.20333,-0.60743
0.87412,1.139,0.26588,0.96502,1.7366,0.10998,0.35809,-0.13595,-0.11305,0.41114,-0.59246,-0.15643,0.786,0.036731,0.86942,0.40858,-0.17603,0.21343,-0.23526,-0.31903,-0.03849,-0.34839,-0.1662,-0.54183
0.8591,1.0261,0.3482,0.98084,1.6879,0.17488,0.35414,-0.06306,-0.12001,0.45946,-0.50513,-0.021886,0.82264,0.0072568,1.1687,0.30986,-0.040846,0.055365,-0.38826,-0.092143,-0.05484,-0.37518,-0.11022,-0.52306
0.8781,1.0311,0.58702,0.964,1.6887,0.33744,0.35776,0.11265,-0.10656,0.51976,-0.3846,0.1359,0.81453,0.052093,1.3506,0.39058,0.063083,0.24741,-0.26874,0.13196,0.090107,-0.19906,0.094825,-0.33454
0.78125,0.80487,0.70142,0.88317,1.7664,0.31537,0.30211,0.14125,-0.064904,0.48745,-0.24484,0.12509,0.84053,0.0017434,1.447,0.45159,0.20487,0.26843,-0.19796,0.40441,0.19365,-0.09279,0.22895,-0.17749
0.74353,0.70129,0.82436,0.71498,1.6324,0.34495,0.24563,0.18165,0.015382,0.59414,-0.13408,0.1741,0.90983,0.051765,1.5124,0.60578,0.34867,0.29381,0.010525,0.51251,0.30838,0.14933,0.3018,0.14292
0.95011,0.64766,1.0239,0.76572,1.318,0.44616,0.19641,0.27399,0.11198,0.61449,-0.077874,0.2697,1.0862,0.24322,1.5135,0.79282,0.55835,0.31115,0.23202,0.72779,0.42206,0.17167,0.39313,0.13002
1.1822,0.44927,1.2492,0.84745,1.3191,0.65037,0.31591,0.36611,0.37367,0.68488,0.23857,0.83124,1.2772,0.43464,1.5518,0.94045,0.81892,0.38454,0.38007,0.95341,0.66268,0.2106,0.60185,0.23631
1.4003,0.55359,1.4802,0.89134,1.5334,0.96966,0.51257,0.68258,0.71029,0.86882,0.39389,1.1848,1.4603,0.71655,1.5989,1.1273,1.1455,0.54598,0.671,1.0708,1.0081,0.34499,0.80623,0.33109
1.7233,0.76496,1.8888,1.1005,1.5762,1.3017,0.71726,1.0167,1.1781,1.1513,0.93763,1.7166,1.685,1.1115,1.7316,1.4616,1.5789,0.7707,1.0002,1.3485,1.3564,0.61879,1.1475,0.69996
