"CH1","CH2","CH3","CH4","CH5","CH6","CH7","CH8","CH9","CH10","CH11","CH12","CH13","CH14","CH15","CH16","CH17","CH18","CH19","CH20","CH21","CH22","CH23","CH24"
2.2597,3.6599,1.4772,2.8894,3.6206,1.8351,1.9926,1.3023,1.1861,1.0393,0.97173,2.7327,5.0613,2.2981,7.1259,2.3582,1.8499,4.6436,1.2468,5.3925,2.0943,1.7096,2.172,1.2967
2.5969,3.4362,1.8282,3.2703,3.3209,2.1228,2.3651,1.8099,1.2329,1.8414,0.75105,3.7267,5.1735,2.489,7.0768,2.4791,2.466,4.422,1.2827,5.2452,2.261,2.044,2.8383,1.5524
2.8516,4.3962,2.2932,3.7916,3.9076,3.0741,3.0098,2.6829,1.4326,1.8331,2.141,2.6855,5.5157,2.3151,7.5831,2.9296,2.7773,4.7146,1.8262,5.464,3.1648,2.8987,3.5391,2.2949
3.5249,5.0957,3.1939,4.643,4.5386,3.6274,3.7713,2.872,1.7498,2.9416,2.2254,3.274,6.4221,2.7775,8.1638,3.6796,3.8751,5.4338,2.6963,6.0329,3.6468,3.1377,3.63,2.2494
3.9009,5.4689,3.7913,5.1109,4.8401,3.7047,4.5122,2.8129,2.0753,3.9961,2.592,4.5539,6.3097,3.1785,8.2276,4.0957,4.8102,5.3684,3.1347,6.1082,4.2067,3.7318,3.6919,2.9071
4.4048,5.5561,3.8272,5.3479,5.0894,3.5293,4.4057,2.6456,2.5509,4.3655,2.9934,4.5159,5.9632,3.642,8.0754,4.2728,5.518,4.9419,3.5062,5.5781,4.5609,4.2473,3.6743,3.4775
4.8678,5.4476,4.0891,5.6443,4.5654,4.0621,4.7507,2.8768,3.0205,4.8,3.4712,4.7742,6.7663,4.297,8.0404,4.7451,6.3973,5.7176,4.4509,6.4236,4.8722,3.475,4.4896,3.8556
5.4622,5.9411,5.0073,6.384,5.2433,5.1312,5.5458,4.1194,4.0327,4.7455,4.3145,6.143,7.4267,5.0954,8.9101,5.8513,7.0755,6.3898,5.7516,6.9147,6.4527,4.4946,4.8494,4.9968
6.1311,6.0968,5.8527,6.7841,6.0892,6.1564,5.3163,5.2902,4.3246,3.9511,4.4034,4.7764,8.3071,6.1042,9.5536,7.0784,7.9262,6.498,6.666,6.6598,7.3466,5.7779,5.7294,5.3557
6.9006,6.351,6.8825,7.3958,6.7711,6.7486,6.0521,5.6179,5.1481,4.7578,5.1221,6.3532,8.9003,6.663,9.7501,7.6471,8.6976,7.0554,6.975,7.0984,8.1145,5.8576,6.9512,6.029
