"CH1","CH2","CH3","CH4","CH5","CH6","CH7","CH8","CH9","CH10","CH11","CH12","CH13","CH14","CH15","CH16","CH17","CH18","CH19","CH20","CH21","CH22","CH23","CH24"
1.6438,1.1414,0.83879,1.6112,-0.50637,1.0365,0.95051,-0.086768,0.98359,0.04363,0.40216,1.1439,0.92665,1.4428,0.90893,0.92327,1.507,1.3957,0.6263,1.1876,0.72247,0.84413,0.80947,0.65995
1.8942,1.6284,1.1893,1.9652,0.017512,1.2385,1.2212,0.16189,1.3904,0.31747,0.70916,1.8754,1.431,1.611,1.8618,1.1337,1.8249,1.7526,1.0133,2.0135,0.96462,0.69769,1.1294,0.80176
2.0905,2.1696,1.6508,2.252,0.92674,1.4936,1.4835,0.43063,1.781,0.41871,1.1519,1.9978,2.0974,1.8642,2.1991,1.4091,1.9989,2.7189,1.2703,2.5173,1.171,0.81964,1.3023,0.71021
2.1312,2.7425,1.7429,2.4854,1.4246,1.7424,1.8303,0.47637,1.4906,1.059,0.70645,1.7372,2.4914,1.8852,3.0168,1.7101,2.0266,2.9638,1.2496,2.8351,1.2531,0.90888,1.3146,0.55204
2.1476,3.3456,1.8861,2.5972,1.7903,2.0056,2.1808,0.60603,1.7257,1.3751,0.8726,1.881,2.8741,2.0649,3.3633,2.1417,2.0495,2.8968,1.4951,2.8033,1.5174,0.90018,1.3486,0.64534
2.0023,3.3159,1.7506,2.3302,1.8932,2.0946,1.9484,0.72565,1.5324,1.4205,0.80654,1.8186,3.0953,1.8796,3.8622,2.1666,1.8847,2.6736,1.5709,3.1696,1.5728,0.91773,1.3691,0.74116
1.7554,3.2599,1.4966,2.054,1.7458,2.009,1.8165,0.61727,1.3061,1.3076,0.56091,1.6304,3.0991,1.6046,4.5792,2.1086,1.6244,2.6672,1.4787,3.4507,1.497,0.76542,1.1298,0.4447
1.5114,2.7989,1.2192,1.7687,1.1679,1.8384,1.7547,0.40198,1.0182,1.1314,0.45413,1.5447,3.0484,1.4033,4.3983,1.9147,1.2522,3.0174,1.1753,3.3932,1.2296,0.56603,0.87898,0.16924
1.2004,2.5924,0.88823,1.455,1.2759,1.6999,1.4354,0.2149,0.59086,1.0481,0.0097498,1.5861,2.8855,1.212,4.198,1.7237,1.0075,2.5559,0.80451,3.653,0.89375,0.0326,0.81884,-0.076623
1.0277,3.2557,0.73162,1.3353,2.4321,1.4314,1.4136,0.020579,0.27073,1.2922,-0.40994,0.92171,2.8916,1.0433,4.7632,1.6005,0.69952,2.3311,0.43833,3.7416,0.55727,-0.50375,0.48906,-0.57158
1.018,3.2187,0.46257,1.1895,2.7823,0.99299,1.1916,-0.3547,-0.38036,1.4873,-0.8121,0.51849,3.0262,0.82879,4.8274,1.5585,0.25817,2.5911,0.26272,2.9326,0.39911,-0.95255,0.02231,-0.7975
0.91788,3.7888,0.37754,1.144,3.6215,0.9112,1.1061,-0.48141,-0.24143,1.2391,-0.95954,0.14178,3.1495,0.96448,5.3688,1.5853,0.25561,2.7198,0.27113,3.1937,0.32981,-1.0031,0.082018,-0.88591
0.67842,3.952,0.37803,1.1524,3.8681,0.87129,1.1424,-0.45244,-0.19513,1.1011,-1.0373,-0.044782,3.3974,0.80852,6.3415,1.4092,0.040313,2.8411,0.11336,3.4048,0.33178,-1.046,-0.16043,-0.78001
0.37757,3.4586,0.10356,0.89694,3.6934,0.53686,1.1298,-0.68962,-0.35447,1.0605,-1.297,-0.1993,3.3109,0.42396,6.219,1.1029,-0.44874,2.1348,-0.16731,3.0522,0.049037,-1.4845,-0.61711,-1.0364
0.52676,3.2506,-0.166,0.89967,3.5538,0.83822,1.3248,-0.60526,-0.23901,0.58715,-1.3626,-0.31328,3.7571,1.0182,5.5971,1.4393,-0.74231,2.4347,-0.19747,3.0564,-0.26881,-1.4484,-0.59356,-1.1408
0.8969,3.5679,-0.24778,1.1237,3.0482,1.112,1.6308,-0.55308,0.10971,0.61136,-1.3993,-0.40333,4.3405,1.7592,5.8837,1.9305,-0.68417,2.8837,-0.16815,3.6188,-0.206,-1.3546,-0.06123,-1.2124
1.0709,3.1646,-0.33592,1.2034,2.8954,0.78071,1.4234,-0.67909,0.079725,0.304,-1.349,-0.97292,3.7637,1.4798,5.6421,1.5461,-0.61619,2.6793,-0.29452,3.6041,-0.39221,-1.4844,-0.14069,-1.2762
