"CH1","CH2","CH3","CH4","CH5","CH6","CH7","CH8","CH9","CH10","CH11","CH12","CH13","CH14","CH15","CH16","CH17","CH18","CH19","CH20","CH21","CH22","CH23","CH24"
-4.6824,-6.5349,-3.0234,-5.6643,-4.4954,-4.8423,-5.4344,-2.6422,-3.9821,-3.4068,-1.7157,-3.7237,-6.9363,-3.5064,-6.8316,-5.6769,-4.4741,-6.1026,-4.4807,-3.6881,-5.5379,-2.9384,-4.6618,-3.3738
-4.5516,-6.5387,-2.9153,-5.6104,-4.4891,-4.9372,-5.3449,-2.7282,-3.7962,-3.404,-1.6019,-3.3235,-6.955,-3.3727,-6.8509,-5.6728,-4.277,-6.2251,-5.1135,-4.0215,-5.5113,-2.9326,-5.0726,-3.4218
-4.351,-6.3409,-2.7654,-5.3756,-4.3548,-4.8036,-5.2115,-2.5518,-3.6454,-3.3278,-1.5757,-3.5255,-6.8041,-3.1853,-6.7783,-5.6031,-4.0013,-6.235,-4.6849,-3.4923,-5.3992,-3.2756,-4.6988,-3.7664
-4.2299,-5.9872,-2.6256,-4.9712,-4.0888,-4.4989,-4.7917,-2.4301,-3.3719,-3.2693,-1.6598,-3.1101,-6.2646,-2.7672,-6.5797,-5.3962,-3.6157,-6.0718,-3.9403,-3.2643,-5.2916,-2.6176,-4.0416,-3.4328
-4.0824,-5.9939,-2.7329,-4.9462,-3.8422,-4.3347,-4.5633,-2.2949,-3.319,-3.1726,-2.1087,-2.7073,-6.0777,-2.4862,-6.6006,-5.374,-3.5373,-6.1592,-4.3686,-3.6535,-5.3659,-2.9513,-3.7743,-3.4718
-3.8934,-5.8807,-2.6406,-4.9418,-3.6243,-4.2147,-4.6052,-2.4626,-3.5096,-3.2426,-2.3189,-2.8329,-5.9851,-2.2152,-6.5785,-5.1797,-3.4144,-6.1016,-4.344,-3.4666,-5.4897,-2.7572,-4.2452,-3.9038
-3.6947,-5.986,-2.5746,-4.6869,-3.6395,-4.3179,-4.4909,-2.8732,-3.404,-3.1032,-2.3889,-2.4067,-6.1149,-1.8445,-6.5223,-5.0395,-3.2172,-6.1492,-4.4212,-3.2496,-5.6534,-3.0904,-3.9196,-4.0482
-3.5024,-5.9625,-2.408,-4.4156,-3.8135,-4.2768,-4.2738,-2.8081,-3.1674,-2.6698,-1.7448,-2.2835,-5.911,-1.451,-6.2995,-4.6238,-3.0638,-5.5788,-4.1657,-2.9839,-5.4396,-3.3038,-3.4701,-4.0881
-3.2067,-5.7662,-2.3085,-4.2131,-3.7178,-3.9725,-4.0513,-2.4308,-2.9236,-2.3342,-1.4124,-1.5862,-5.2294,-1.236,-5.825,-4.1978,-2.81,-4.9961,-4.2523,-2.6828,-5.0652,-2.5776,-3.293,-3.9759
-3.0867,-5.5291,-2.1732,-4.0679,-3.4791,-3.646,-3.9555,-2.2811,-2.7287,-2.2104,-1.5314,-2.0361,-5.0717,-1.1278,-5.6064,-4.0512,-2.7481,-4.8078,-4.3101,-2.9517,-4.8332,-2.3603,-2.9455,-3.44
-2.7172,-5.173,-1.8007,-3.7486,-3.2469,-3.192,-3.8116,-2.0845,-2.4313,-2.0261,-1.4623,-1.8743,-4.7325,-0.89608,-5.2562,-3.8006,-2.3061,-4.2941,-3.5612,-2.8813,-4.2595,-2.1955,-2.4607,-3.1746
-2.3855,-4.7505,-1.7118,-3.3836,-2.592,-2.8721,-3.1923,-1.8447,-1.8715,-1.6188,-1.1956,-1.0512,-4.5136,-0.66786,-4.7688,-3.6164,-2.0042,-4.2146,-3.3559,-3.0894,-3.8716,-1.8422,-2.0706,-3.3492
-2.0717,-4.012,-1.4203,-3.2758,-2.4903,-2.4248,-2.9815,-1.828,-2.2127,-1.362,-1.4991,-2.6401,-3.9695,-0.69859,-4.6014,-3.3587,-2.0611,-3.6396,-3.1681,-2.3168,-3.7709,-2.1259,-1.9996,-2.9308
-1.8885,-3.282,-1.1483,-3.1875,-2.1432,-2.2775,-2.7027,-1.8664,-1.8313,-1.3914,-1.4983,-2.2133,-3.7688,-0.71039,-4.9634,-3.0371,-1.702,-3.2374,-2.8893,-2.0296,-3.7918,-1.9355,-2.2866,-2.6609
-1.8365,-2.8275,-1.2513,-3.064,-1.7015,-2.4711,-2.2629,-1.8341,-1.4454,-0.99118,-1.5177,-1.8252,-3.4057,-0.56892,-4.0477,-2.65,-1.6949,-3.0615,-2.5316,-1.7923,-3.605,-1.6364,-2.381,-2.9445
-1.2668,-2.144,-0.84975,-2.7637,-1.3258,-2.082,-1.9696,-1.3982,-1.6806,-0.59219,-1.6073,-2.6288,-2.6178,-0.085388,-3.4965,-1.8597,-1.1282,-2.4708,-1.6649,-1.1801,-2.8255,-1.4291,-2.3244,-2.2812
-0.99553,-2.1122,-0.76636,-2.4801,-0.92529,-1.9391,-1.791,-1.3583,-1.4563,-0.50832,-1.4968,-2.5574,-1.9555,0.31277,-3.0764,-1.5649,-1.0388,-2.0623,-1.4744,-1.1732,-2.6546,-1.1069,-1.9338,-2.181
-0.65676,-2.2914,-0.57093,-2.1195,-0.64392,-1.6348,-1.5063,-0.92096,-0.58232,-0.59428,-0.39588,-2.3625,-1.1911,0.61833,-2.107,-1.4372,-0.8354,-1.5792,-1.7654,-0.36127,-2.3206,-0.66501,-1.5529,-1.6338
-0.094809,-1.7761,-0.20447,-1.7176,-0.099439,-1.1709,-0.94413,-0.75429,0.032432,-0.13619,-0.26081,-2.2873,-0.14387,1.0202,-1.0865,-0.89479,-0.34556,-1.0772,-1.1136,0.80751,-2.0244,-0.25652,-0.89474,-1.0114
0.11339,-1.0816,-0.63918,-1.4415,0.21034,-1.3415,-0.49472,-0.63286,0.49332,-0.28255,0.19812,-1.8709,-1.2506,0.27095,-0.50096,-2.179,-0.6783,-1.1303,-2.3296,0.9154,-2.8244,-0.93693,-0.99891,-2.0388
0.43994,-0.20342,-1.2193,-0.96994,0.98948,-0.87498,-0.015378,-0.036219,0.39216,-0.1812,0.34597,-1.6644,-1.6408,-0.20974,-0.20381,-2.1099,-0.55245,-0.6459,-2.3493,1.1038,-1.7057,-0.49036,-1.2916,-1.1932
0.85105,0.20667,-0.67313,-0.63987,1.6748,-0.23602,-0.19007,0.0038059,0.10874,-0.40483,-0.28745,-1.5719,-0.59781,0.46846,0.15991,-1.0266,0.23676,0.079924,-0.831,0.66505,-1.2295,0.22828,-0.88914,-0.75134
0.82784,0.55432,-0.65565,-0.43792,0.8879,-0.30067,-0.60662,-0.18344,0.20065,-1.0506,-0.1987,-1.302,-0.0070037,0.71106,0.70493,-0.55165,0.3501,0.3242,-0.73158,1.0024,-0.90714,0.33045,-0.39062,-0.67382
0.87083,1.114,-0.87418,-0.15695,1.3853,-0.25854,0.36304,-0.36659,-0.16191,0.33425,-0.64458,-0.64435,0.32715,0.67177,1.2139,-0.66291,0.24253,0.66122,-0.90909,1.5933,-0.94561,0.052975,-0.77678,-0.66936
1.0453,1.7972,-0.65071,0.32629,1.843,-0.020751,1.2981,-0.5799,0.25188,1.1603,-0.65023,-0.0083642,0.31119,0.84819,1.4704,-0.68531,0.55265,0.94641,-0.74419,1.8424,-0.62925,0.075344,-0.34627,-0.64968
0.83213,2.1503,-0.8084,0.30064,1.7328,-0.28522,1.1999,-0.7875,0.50501,1.5243,-0.70384,-0.19534,0.27333,0.84402,1.2336,-1.1355,0.23472,0.68434,-0.36554,1.6073,-0.60474,-0.010064,-0.7458,-1.4046
0.76283,2.4927,-1.3544,0.28058,2.1927,-0.50845,1.395,-1.2162,0.23598,2.0068,-0.52343,-0.2631,0.51478,0.59378,2.0139,-1.0945,-0.24793,1.3298,-0.30579,1.3535,-0.71527,-0.58118,-1.7044,-1.3163
0.95847,2.955,-1.5292,0.89184,2.4935,-0.56748,2.0448,-1.574,0.68288,1.9895,-0.91065,0.40505,1.1388,0.33537,2.956,-0.63044,-0.24679,1.9238,-0.50714,1.949,-0.39303,-0.52431,-1.7005,-1.1852
1.177,3.4925,-1.355,1.2847,2.4026,-0.1517,2.2942,-1.3391,0.31513,2.2697,-1.1016,-0.57864,1.4661,0.16391,3.2991,-0.22276,-0.42193,2.3652,-0.47188,2.6361,-0.14372,-0.99795,-0.62619,-1.5229
1.362,3.8913,-1.1649,1.684,3.1726,0.23828,2.5827,-0.97174,0.1871,2.5869,-1.0662,-0.33914,2.0119,0.28207,3.5959,0.43432,-0.2623,3.1167,-0.23913,3.0001,0.20694,-0.85469,-0.72177,-0.9298
1.5788,3.9618,-0.82518,1.9437,3.3318,0.51782,2.6695,-1.0063,0.45272,2.5537,-1.252,0.69935,2.5222,0.49398,3.9241,0.87682,0.2751,3.3146,0.42456,2.9672,0.51072,0.1441,-0.68335,-1.2406
1.7406,3.8894,-0.33816,1.9521,3.2569,0.59012,2.2228,-0.55902,0.62741,1.7762,-0.5699,0.24191,2.553,0.82918,4.0533,1.0907,0.84698,3.1733,1.1691,2.5405,0.57808,0.27747,-0.53155,-1.2217
1.9461,3.9556,-0.33565,1.9936,3.6617,0.22719,2.5278,-0.74601,0.90406,2.6799,-0.15954,1.5525,2.7776,1.2952,4.2665,1.4434,1.4884,2.8821,1.2022,2.7113,0.59193,0.70972,-0.90678,-0.39102
2.495,3.6987,-0.016912,2.2978,3.8362,0.76448,3.3203,-0.83913,1.3855,3.5455,-0.21604,2.5459,3.1299,1.9714,4.4508,1.7885,2.4509,2.6893,1.8264,2.5035,0.78963,1.4692,-0.76915,0.34079
2.7598,4.1801,0.11448,2.6404,4.5534,1.0888,3.8117,-0.69195,1.9536,3.6076,0.31236,2.9644,3.3442,2.3495,4.9048,2.1666,2.9639,3.0833,1.8033,2.7534,1.1642,1.5657,-0.18454,0.96312
3.0459,4.7739,0.33486,2.7943,5.2995,1.4423,3.7258,-0.38487,1.6394,3.2666,0.088277,2.4699,3.8541,2.4609,5.5508,2.5136,2.7961,3.4808,1.4207,2.8707,1.4531,0.69857,0.2319,0.71342
2.887,4.745,0.54507,2.7362,5.9482,1.5482,3.5674,-0.084692,1.3889,2.9175,-0.41287,1.2708,4.223,2.3501,6.1402,2.6713,2.5548,3.8304,2.0481,2.85,1.4779,0.7856,0.22501,0.54571
2.6146,4.6426,-0.07878,1.9745,6.2626,1.4191,3.1323,0.25641,1.3348,2.2025,-0.224,0.54442,4.157,1.8543,6.273,2.4386,2.203,3.8093,1.7713,3.3732,1.3112,0.59897,-0.036908,0.1918
2.8278,5.2855,0.10794,2.5567,7.0018,1.6006,3.8609,0.29557,1.8253,2.8755,0.086807,1.7264,3.9856,1.8332,6.2593,2.5272,2.2933,3.4745,1.4054,3.2409,1.2843,0.3536,0.39964,0.27844
3.0773,5.663,0.70764,3.1895,6.8463,2.1034,3.6638,0.63801,2.4662,1.9283,0.46443,2.1226,4.4673,1.9768,6.7254,2.8223,2.0084,3.7829,1.8198,3.2546,1.493,0.15646,0.47356,-0.18352
3.1255,5.6502,1.0099,3.0285,7.31,2.5232,3.6719,1.0506,2.0255,1.9217,0.092574,0.9157,4.3638,1.9389,6.7095,2.8171,2.1004,3.8871,1.7795,2.9143,1.6164,0.81614,0.53617,0.34014
