"CH1","CH2","CH3","CH4","CH5","CH6","CH7","CH8","CH9","CH10","CH11","CH12","CH13","CH14","CH15","CH16","CH17","CH18","CH19","CH20","CH21","CH22","CH23","CH24"
4.5208,6.4329,3.6664,4.5408,7.1804,3.9038,5.5494,1.4999,2.3232,4.2348,0.34629,2.0943,6.6621,4.0108,6.7657,4.6181,3.2269,4.1089,2.9003,4.1849,2.2875,1.1208,1.4894,0.83081
4.7271,6.346,3.7216,4.928,6.6442,3.9901,5.1817,1.1755,2.8762,3.3227,0.19877,3.9246,6.7652,4.2747,6.8813,4.9037,3.4628,4.0799,3.2352,3.765,2.3918,1.4902,1.5307,0.63162
4.9318,6.4957,3.5789,4.8143,6.9085,4.2996,5.7263,1.7192,3.6047,4.2933,0.36925,5.1715,7.0109,4.6735,7.1032,5.2162,3.7017,4.4898,4.016,3.8471,3.0873,2.4671,2.2418,1.3386
4.8525,6.2371,3.1918,4.21,6.6575,4.2596,5.594,2.122,3.4807,4.1345,0.40535,3.8694,7.044,4.6856,7.1259,5.2824,3.631,4.5171,4.3416,3.4293,3.3645,2.3992,2.4585,1.871
4.8131,6.2312,3.3282,4.4946,6.4234,4.3401,5.4971,1.8707,3.4936,3.9308,0.37448,3.7188,6.9039,4.603,6.9184,5.2594,3.5376,4.234,4.0125,3.6951,3.2578,2.2433,2.5232,2.1426
4.6525,6.0472,3.3689,4.449,5.8371,4.3238,4.9926,1.8553,3.6559,3.142,0.55384,4.0315,6.8813,4.4961,6.6403,5.1991,3.3081,4.1115,3.6004,3.9738,3.138,1.9312,1.8121,1.6949
4.3232,5.371,3.3013,4.0975,5.1394,4.1832,4.2525,1.8862,3.3731,2.3389,0.30964,3.4225,6.344,4.0204,6.3391,4.8434,2.8706,3.8314,3.0525,2.8316,2.9415,1.397,2.1193,1.6282
3.8744,5.2523,2.8,3.8337,4.8188,3.7377,4.321,1.4664,3.5392,2.5953,0.42715,3.7932,5.5048,2.8442,5.576,4.4125,1.9811,3.1512,2.7191,2.5675,2.8973,0.34728,1.8875,0.67218
3.384,5.2922,2.3511,3.8113,4.4317,2.9548,3.9618,0.96803,3.3254,2.3394,0.020924,3.6745,5.1662,2.0499,4.8797,3.9313,1.2582,2.4789,2.2739,1.6542,2.3859,-0.18384,0.94558,0.88907
3.1318,4.9883,1.792,3.6204,4.0999,2.6698,3.8718,0.49153,2.8636,2.0498,0.016022,2.3187,5.7181,1.5622,5.3865,3.7298,0.99513,3.6439,2.5557,2.6228,2.5831,0.4966,1.1845,1.0473
